[2023-05-07 22:24:34,641] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 19:07:48,942] Register - Step 04: Enter to Email textbox with value is'abc7875@gmail.com'
[2023-05-08 19:07:49,100] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:07:49,245] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-08 19:07:49,361] Register - Step 07: Click to 'Register' button
[2023-05-08 19:07:50,313] Register - Step 08: Verify Register success message is displayed
[2023-05-08 19:07:50,415]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:07:50,421] Login - Step 01: Click to 'Login' link
[2023-05-08 19:07:50,942] Login - Step 02: Enter to Email textbox with value is'abc7875@gmail.com'
[2023-05-08 19:07:51,128] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:07:51,268] Login - Step 04: Click to 'Login' button
[2023-05-08 19:07:52,223] Login - Step 05: Verify MyAccount link is displayed
[2023-05-08 19:07:52,360]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:07:52,361] Login - Step 06: Click to 'MyAccount' link
[2023-05-08 19:07:52,840] Login - Step 07: Verify CustomerInfor page is displayed
[2023-05-08 19:07:52,968]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:49:09,145] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 19:49:10,363] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-08 19:49:10,525] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-08 19:49:10,643] Register - Step 04: Enter to Email textbox with value is'abc2905@gmail.com'
[2023-05-08 19:49:10,782] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:49:10,895] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-08 19:49:11,005] Register - Step 07: Click to 'Register' button
[2023-05-08 19:49:11,805] Register - Step 08: Verify Register success message is displayed
[2023-05-08 19:49:11,904]  -------------------------- FAILED -------------------------- 
[2023-05-08 19:49:12,024] Login - Step 01: Click to 'Login' link
[2023-05-08 19:49:12,511] Login - Step 02: Enter to Email textbox with value is'abc2905@gmail.com'
[2023-05-08 19:49:12,678] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:49:12,801] Login - Step 04: Click to 'Login' button
[2023-05-08 19:49:13,587] Login - Step 05: Verify MyAccount link is displayed
[2023-05-08 19:49:13,715]  -------------------------- FAILED -------------------------- 
[2023-05-08 19:49:13,715] Login - Step 06: Click to 'MyAccount' link
[2023-05-08 19:49:14,232] Login - Step 07: Verify CustomerInfor page is displayed
[2023-05-08 19:49:14,360]  -------------------------- FAILED -------------------------- 
[2023-05-08 19:53:51,399] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 19:53:53,105] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-08 19:53:53,220] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-08 19:53:53,337] Register - Step 04: Enter to Email textbox with value is'abc6916@gmail.com'
[2023-05-08 19:53:53,458] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:53:53,594] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-08 19:53:53,736] Register - Step 07: Click to 'Register' button
[2023-05-08 19:53:55,313] Register - Step 08: Verify Register success message is displayed
[2023-05-08 19:53:55,531] Login - Step 01: Click to 'Login' link
[2023-05-08 19:53:56,331] Login - Step 02: Enter to Email textbox with value is'abc6916@gmail.com'
[2023-05-08 19:53:56,450] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:53:56,558] Login - Step 04: Click to 'Login' button
[2023-05-08 19:53:57,856] Login - Step 05: Verify MyAccount link is displayed
[2023-05-08 20:22:48,571] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 20:22:49,968] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-08 20:22:50,104] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-08 20:22:50,231] Register - Step 04: Enter to Email textbox with value is'abc2814@gmail.com'
[2023-05-08 20:22:50,345] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-08 20:22:50,469] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-08 20:22:50,578] Register - Step 07: Click to 'Register' button
[2023-05-08 20:22:51,586] Register - Step 08: Verify Register success message is displayed
[2023-05-08 20:22:51,673] Login - Step 01: Click to 'Login' link
[2023-05-08 20:22:52,384] Login - Step 02: Enter to Email textbox with value is'abc2814@gmail.com'
[2023-05-08 20:22:52,535] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-08 20:22:52,655] Login - Step 04: Click to 'Login' button
[2023-05-08 20:22:53,653] Login - Step 05: Verify MyAccount link is displayed
[2023-05-11 23:55:02,145] Login - Step 01: Click to 'Login' link
[2023-05-11 23:58:42,297] Login - Step 01: Click to 'Login' link
[2023-05-12 00:01:41,216] Login - Step 01: Click to 'Login' link
[2023-05-12 00:03:05,184] Login - Step 01: Click to 'Login' link
[2023-05-12 00:03:06,540] Login - Step 02: Enter to Email textbox with value is'abc2968@gmail.com'
[2023-05-12 00:05:37,406] Login - Step 01: Click to 'Login' link
[2023-05-12 00:05:38,663] Login - Step 02: Enter to Email textbox with value is'abc3813@gmail.com'
[2023-05-12 00:12:00,109] Login - Step 01: Click to 'Login' link
[2023-05-12 00:12:01,408] Login - Step 02: Enter to Email textbox with value is'abc8159@gmail.com'
[2023-05-12 20:35:09,817] Login - Step 01: Click to 'Login' link
[2023-05-12 20:35:11,352] Login - Step 02: Enter to Email textbox with value is'abc3689@gmail.com'
[2023-05-12 20:39:49,582] Login - Step 01: Click to 'Login' link
[2023-05-12 20:39:50,924] Login - Step 02: Enter to Email textbox with value is'abc1877@gmail.com'
[2023-05-12 20:43:56,529] Login - Step 01: Click to 'Login' link
[2023-05-12 20:44:01,786] Login - Step 02: Enter to Email textbox with value is'abc2770@gmail.com'
[2023-05-12 20:44:01,955] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-12 20:44:02,097] Login - Step 04: Click to 'Login' button
[2023-05-13 00:05:05,129] Login - Step 01: Click to 'Login' link
[2023-05-13 00:05:05,778] Login - Step 02: Add cookie and reload
[2023-05-13 00:05:10,550] Login - Step 05: Verify MyAccount link is displayed
[2023-05-13 00:05:10,665]  -------------------------- PASSED -------------------------- 
[2023-05-13 00:08:04,892] Login - Step 01: Click to 'Login' link
[2023-05-13 00:08:06,100] Login - Step 02: Add cookie and reload
[2023-05-13 00:08:10,872] Login - Step 05: Verify MyAccount link is displayed
[2023-05-13 00:08:11,002]  -------------------------- PASSED -------------------------- 
[2023-05-13 12:16:39,104] Register - Step 01: Navigate to 'Register' Page
[2023-05-13 12:16:40,367] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-13 12:16:40,517] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-13 12:16:40,639] Register - Step 04: Enter to Email textbox with value is'abc904@gmail.com'
[2023-05-13 12:16:40,769] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-13 12:16:40,886] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-13 12:16:40,990] Register - Step 07: Click to 'Register' button
[2023-05-13 12:16:41,801] Register - Step 08: Verify Register success message is displayed
[2023-05-13 12:16:42,104] Login - Step 01: Click to 'Login' link
[2023-05-13 12:16:42,582] Login - Step 02: Enter to Email textbox with value is'abc904@gmail.com'
[2023-05-13 12:16:42,724] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-13 12:16:42,844] Login - Step 04: Click to 'Login' button
[2023-05-13 12:16:43,640] Login - Step 05: Verify MyAccount link is displayed
[2023-05-13 12:16:43,764]  -------------------------- PASSED -------------------------- 
[2023-05-13 12:16:43,764] Login - Step 06: Click to 'MyAccount' link
[2023-05-13 12:16:44,232] Login - Step 07: Verify CustomerInfor page is displayed
[2023-05-13 12:16:44,341]  -------------------------- PASSED -------------------------- 
[2023-05-13 12:16:44,351] OS name = windows 10
[2023-05-13 12:16:44,351] Driver instance name = firefoxdriver: firefox on windows (5ab9143a-61d8-4cfe-bac2-b7486e86973d)
[2023-05-13 12:18:13,105] Register - Step 01: Navigate to 'Register' Page
[2023-05-13 12:18:14,288] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-13 12:18:14,437] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-13 12:18:14,562] Register - Step 04: Enter to Email textbox with value is'abc5938@gmail.com'
[2023-05-13 12:18:14,688] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-13 12:18:14,797] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-13 12:18:14,906] Register - Step 07: Click to 'Register' button
[2023-05-13 12:18:16,012] Register - Step 08: Verify Register success message is displayed
[2023-05-13 12:18:16,351] OS name = windows 10
[2023-05-13 12:18:16,351] Driver instance name = firefoxdriver: firefox on windows (9a24d7c6-dbae-4b73-a90f-41bc07a02f20)
[2023-05-13 21:06:27,411] Register_01 - Step 01: Click to Register link
[2023-05-13 21:06:28,668] Register_01 - Step 02: Click to Register button
[2023-05-13 21:06:29,041] Register - Step 03: Verify error message at FirstName textbox is displayed
[2023-05-13 21:06:29,137]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:29,137] Register - Step 04: Verify error message at LastName textbox is displayed
[2023-05-13 21:06:29,209]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:29,209] Register - Step 05: Verify error message at Email textbox is displayed
[2023-05-13 21:06:29,301]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:29,301] Register - Step 06: Verify error message at Password textbox is displayed
[2023-05-13 21:06:29,393]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:29,393] Register - Step 07: Verify error message at  Confirm Password textbox is displayed
[2023-05-13 21:06:29,469]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:29,477] Register_02 - Step 01: Click to Register link
[2023-05-13 21:06:30,017] Register_02 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:06:30,231] Register_02 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:06:30,357] Register_02 - Step 04: Enter to Invalid Email textbox with value abc@123
[2023-05-13 21:06:30,479] Register_02 - Step 05: Enter to Password textbox with value abc1234
[2023-05-13 21:06:30,586] Register_02 - Step 06: Enter to Confirm Password textbox with value abc1234
[2023-05-13 21:06:30,708] Register_02 - Step 06: Click to Register button
[2023-05-13 21:06:31,307] Register_02 - Step 05: Verify error message at Email textbox is displayed
[2023-05-13 21:06:31,466]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:31,470] Register_03 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:06:32,086] Register_03 - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-13 21:06:32,287] Register_03 - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-13 21:06:32,423] Register_03 - Step 04: Enter to Email textbox with value is'abc8376@gmail.com'
[2023-05-13 21:06:32,554] Register_03 - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-13 21:06:32,684] Register_03 - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-13 21:06:32,784] Register_03 - Step 07: Click to 'Register' button
[2023-05-13 21:06:35,156] Register_03 - Step 08: Verify Register success message is displayed
[2023-05-13 21:06:35,268]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:06:35,271] Register_04 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:07:15,932] Register_05 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:07:56,506] Register_06 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:08:37,079] OS name = windows 10
[2023-05-13 21:08:37,080] Driver instance name = firefoxdriver: firefox on windows (30fad546-ac9f-4ae3-97ea-410db2d208e8)
[2023-05-13 21:10:37,208] Register_01 - Step 01: Click to Register link
[2023-05-13 21:10:38,484] Register_01 - Step 02: Click to Register button
[2023-05-13 21:10:38,859] Register - Step 03: Verify error message at FirstName textbox is displayed
[2023-05-13 21:10:38,923]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:38,923] Register - Step 04: Verify error message at LastName textbox is displayed
[2023-05-13 21:10:38,986]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:38,986] Register - Step 05: Verify error message at Email textbox is displayed
[2023-05-13 21:10:39,063]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:39,063] Register - Step 06: Verify error message at Password textbox is displayed
[2023-05-13 21:10:39,127]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:39,128] Register - Step 07: Verify error message at  Confirm Password textbox is displayed
[2023-05-13 21:10:39,189]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:39,201] Register_02 - Step 01: Click to Register link
[2023-05-13 21:10:39,721] Register_02 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:10:39,879] Register_02 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:10:40,042] Register_02 - Step 04: Enter to Invalid Email textbox with value abc@123
[2023-05-13 21:10:40,151] Register_02 - Step 05: Enter to Password textbox with value abc1234
[2023-05-13 21:10:40,261] Register_02 - Step 06: Enter to Confirm Password textbox with value abc1234
[2023-05-13 21:10:40,375] Register_02 - Step 06: Click to Register button
[2023-05-13 21:10:40,948] Register_02 - Step 05: Verify error message at Email textbox is displayed
[2023-05-13 21:10:41,082]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:41,085] Register_03 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:10:41,602] Register_03 - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-13 21:10:41,757] Register_03 - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-13 21:10:41,905] Register_03 - Step 04: Enter to Email textbox with value is'abc6908@gmail.com'
[2023-05-13 21:10:42,016] Register_03 - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-13 21:10:42,126] Register_03 - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-13 21:10:42,219] Register_03 - Step 07: Click to 'Register' button
[2023-05-13 21:10:43,027] Register_03 - Step 08: Verify Register success message is displayed
[2023-05-13 21:10:43,121]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:10:43,121] Register_03 - Step 08: Click to Logout link
[2023-05-13 21:11:15,497] Register_01 - Step 01: Click to Register link
[2023-05-13 21:11:16,308] Register_01 - Step 02: Click to Register button
[2023-05-13 21:11:16,767] Register - Step 03: Verify error message at FirstName textbox is displayed
[2023-05-13 21:11:16,844]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:16,844] Register - Step 04: Verify error message at LastName textbox is displayed
[2023-05-13 21:11:16,948]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:16,948] Register - Step 05: Verify error message at Email textbox is displayed
[2023-05-13 21:11:17,013]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:17,013] Register - Step 06: Verify error message at Password textbox is displayed
[2023-05-13 21:11:17,076]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:17,076] Register - Step 07: Verify error message at  Confirm Password textbox is displayed
[2023-05-13 21:11:17,136]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:17,141] Register_02 - Step 01: Click to Register link
[2023-05-13 21:11:17,693] Register_02 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:11:17,866] Register_02 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:11:18,021] Register_02 - Step 04: Enter to Invalid Email textbox with value abc@123
[2023-05-13 21:11:18,139] Register_02 - Step 05: Enter to Password textbox with value abc1234
[2023-05-13 21:11:18,264] Register_02 - Step 06: Enter to Confirm Password textbox with value abc1234
[2023-05-13 21:11:18,374] Register_02 - Step 06: Click to Register button
[2023-05-13 21:11:18,899] Register_02 - Step 05: Verify error message at Email textbox is displayed
[2023-05-13 21:11:19,048]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:19,052] Register_03 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:19,546] Register_03 - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-13 21:11:19,717] Register_03 - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-13 21:11:19,848] Register_03 - Step 04: Enter to Email textbox with value is'abc2930@gmail.com'
[2023-05-13 21:11:19,980] Register_03 - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-13 21:11:20,084] Register_03 - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-13 21:11:20,209] Register_03 - Step 07: Click to 'Register' button
[2023-05-13 21:11:21,042] Register_03 - Step 08: Verify Register success message is displayed
[2023-05-13 21:11:21,132]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:21,135] Register_04 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:21,641] Register_04 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:11:21,825] Register_04 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:11:21,961] Register_04 - Step 04: Enter to Existing  Email textbox with value abc2930@gmail.com
[2023-05-13 21:11:22,075] Register_04 - Step 05: Enter to Password textbox with value abc1234
[2023-05-13 21:11:22,175] Register_04 - Step 06: Enter to Confirm Password textbox with value abc1234
[2023-05-13 21:11:22,267] Register_04 - Step 06: Click to Register button
[2023-05-13 21:11:22,763] Register_04 - Step 05: Verify error existing Email message is displayed
[2023-05-13 21:11:22,859]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:22,862] Register_05 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:23,475] Register_05 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:11:23,633] Register_05 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:11:23,706] Register_04 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:23,782] Register_05 - Step 04: Enter to Existing  Email textbox with value abc2930@gmail.com
[2023-05-13 21:11:23,897] Register_05 - Step 05: Enter to Password textbox with value 1234
[2023-05-13 21:11:24,003] Register_05 - Step 06: Enter to Confirm Password textbox with value 1234
[2023-05-13 21:11:24,112] Register_05 - Step 06: Click to Register button
[2023-05-13 21:11:24,429] Register_05 - Step 05: Verify error message at Password textbox is displayed
[2023-05-13 21:11:24,552]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:24,555] Register_06 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:25,051] Register_06 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:11:25,067] Register_04 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:11:25,177] Register_04 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:11:25,227] Register_06 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:11:25,298] Register_04 - Step 04: Enter to Existing  Email textbox with value abc6908@gmail.com
[2023-05-13 21:11:25,368] Register_06 - Step 04: Enter to Existing  Email textbox with value abc2930@gmail.com
[2023-05-13 21:11:25,442] Register_04 - Step 05: Enter to Password textbox with value abc1234
[2023-05-13 21:11:25,495] Register_06 - Step 05: Enter to Password textbox with value abc1234
[2023-05-13 21:11:25,546] Register_04 - Step 06: Enter to Confirm Password textbox with value abc1234
[2023-05-13 21:11:25,598] Register_06 - Step 06: Enter to Confirm Password textbox with value 1234
[2023-05-13 21:11:25,657] Register_04 - Step 06: Click to Register button
[2023-05-13 21:11:25,717] Register_06 - Step 06: Click to Register button
[2023-05-13 21:11:26,374] Register_04 - Step 05: Verify error existing Email message is displayed
[2023-05-13 21:11:26,436]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:26,438] Register_05 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:26,505] Register_06 - Step 05: Verify error message at Confirm Password textbox is displayed
[2023-05-13 21:11:26,575]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:11:26,578] OS name = windows 10
[2023-05-13 21:11:26,578] Driver instance name = firefoxdriver: firefox on windows (90739899-a3ed-44ed-9e67-0ba9e4e2918b)
[2023-05-13 21:11:27,236] Register_05 - Step 02: Enter to FirstName textbox with value automation
[2023-05-13 21:11:27,337] Register_05 - Step 03: Enter to LastName textbox with value FC
[2023-05-13 21:11:27,462] Register_05 - Step 04: Enter to Existing  Email textbox with value abc6908@gmail.com
[2023-05-13 21:11:27,583] Register_05 - Step 05: Enter to Password textbox with value 1234
[2023-05-13 21:11:27,711] Register_05 - Step 06: Enter to Confirm Password textbox with value 1234
[2023-05-13 21:11:27,823] Register_05 - Step 06: Click to Register button
[2023-05-13 21:11:32,014] Register_06 - Step 01: Navigate to 'Register' Page
[2023-05-13 21:11:36,074] OS name = windows 10
[2023-05-13 21:11:36,074] Driver instance name = firefoxdriver: firefox on windows (ab906657-01d8-4ba5-a2d9-8147b736a97b)
[2023-05-13 21:11:40,154] java.net.ConnectException: Failed to connect to localhost/0:0:0:0:0:0:0:1:43032
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-5A2TKGA', ip: '192.168.1.9', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.14'
Driver info: driver.version: RemoteWebDriver
[2023-05-13 21:55:01,194] Pre-condition - Step 01: Navigate to 'Register' Page
[2023-05-13 21:55:02,512] Pre-condition - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-13 21:55:02,700] Pre-condition - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-13 21:55:02,825] Pre-condition - Step 04: Enter to Email textbox with value is'abc8952@gmail.com'
[2023-05-13 21:55:02,968] Pre-condition - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-13 21:55:03,087] Pre-condition - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-13 21:55:03,223] Pre-condition - Step 07: Click to 'Register' button
[2023-05-13 21:55:04,050] Pre-condition - Step 08: Verify Register success message is displayed
[2023-05-13 21:55:04,167]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:55:04,180] Login_01 - Step 01: Click to Login link
[2023-05-13 21:55:04,697] Login_01 - Step 02: Click to Login button
[2023-05-13 21:55:05,110] Login_01 - Step 03: Verify error message at Email textbox is displayed
[2023-05-13 21:55:05,175]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:55:05,182] Login_02 - Step 01: Click to Login link
[2023-05-13 21:55:05,740] Login_02 - Step 02: Enter to Invalid Email textbox with value abc@123
[2023-05-13 21:55:05,955] Login_02 - Step 03: Enter to Password textbox with value abc1234
[2023-05-13 21:55:06,130] Login_02 - Step 04: Click to Login button
[2023-05-13 21:55:06,640] Login_02 - Step 05: Verify Wrong Email message is displayed
[2023-05-13 21:55:06,752]  -------------------------- PASSED -------------------------- 
[2023-05-13 21:55:06,756] Login_03 - Step 01: Click to Login link
[2023-05-13 21:55:07,250] Login_03 - Step 02: Enter to Invalid Email textbox with value abc123@gmail.com
[2023-05-13 21:55:07,418] Login_03 - Step 03: Enter to Password textbox with value abc1234
[2023-05-13 21:55:07,539] Login_03 - Step 04: Click to Login button
[2023-05-13 21:55:08,021] Login_03 - Step 05: Verify error login message is displayed
[2023-05-13 21:55:08,160]  -------------------------- PASSED -------------------------- 
